Source,Target,Time
332396536,19400611,2016-02-19 12:08:37
47498097,19400611,2016-02-19 12:08:40
608039993,14855994,2016-02-19 12:08:42
1912555740,60644777,2016-02-19 12:08:43
77150621,322002308,2016-02-19 12:08:45
116282990,3064752773,2016-02-19 12:08:45
124653833,802584787,2016-02-19 12:08:45
290201048,8769562,2016-02-19 12:08:46
14414619,241201438,2016-02-19 12:08:48
3228578692,538467434,2016-02-19 12:08:48
1142457175,463053212,2016-02-19 12:08:49
183387931,16409683,2016-02-19 12:08:49
2399853949,14855994,2016-02-19 12:08:49
1194934824,1917731,2016-02-19 12:08:51
2247762848,764979343,2016-02-19 12:08:52
92519082,16409683,2016-02-19 12:08:53
4097445383,19400611,2016-02-19 12:08:54
444839168,216776631,2016-02-19 12:08:56
192169201,91882544,2016-02-19 12:08:56
124653833,802584787,2016-02-19 12:08:58
2514045312,108256522,2016-02-19 12:08:59
2746457444,16409683,2016-02-19 12:09:00
184439365,2240756971,2016-02-19 12:09:00
3705640156,1429819598,2016-02-19 12:09:01
116960062,435459729,2016-02-19 12:09:01
2317980932,3110774650,2016-02-19 12:09:01
1077970982,764979343,2016-02-19 12:09:02
270437243,4834339845,2016-02-19 12:09:02
84430335,1252865610,2016-02-19 12:09:04
4491667763,14855994,2016-02-19 12:09:04
2475599276,4328211374,2016-02-19 12:09:04
3228805150,42836285,2016-02-19 12:09:07
20512824,19400611,2016-02-19 12:09:07
860191218,216776631,2016-02-19 12:09:08
376334374,5644772,2016-02-19 12:09:08
3429441815,2758586776,2016-02-19 12:09:08
282779873,23721547,2016-02-19 12:09:09
33611715,10774652,2016-02-19 12:09:10
395218906,364901904,2016-02-19 12:09:10
2351157576,1339835893,2016-02-19 12:09:12
289836894,21888595,2016-02-19 12:09:12
124653833,1955044266,2016-02-19 12:09:13
15808113,138168339,2016-02-19 12:09:14
2450439487,19400611,2016-02-19 12:09:17
633365323,14855994,2016-02-19 12:09:18
86043900,17243582,2016-02-19 12:09:19
1379807377,93069110,2016-02-19 12:09:20
433948886,16721461,2016-02-19 12:09:20
14517437,399774230,2016-02-19 12:09:22
348273806,86886925,2016-02-19 12:09:22
232906886,4328211374,2016-02-19 12:09:23
23817772,18939358,2016-02-19 12:09:24
324636866,1529809286,2016-02-19 12:09:25
2351157576,1339835893,2016-02-19 12:09:26
141647519,3110774650,2016-02-19 12:09:26
250945822,16409683,2016-02-19 12:09:27
3299260221,538467434,2016-02-19 12:09:27
2574200585,3367408719,2016-02-19 12:09:27
423831565,17174309,2016-02-19 12:09:29
212441692,21868866,2016-02-19 12:09:29
1169438480,1367531,2016-02-19 12:09:31
4919506204,2998408203,2016-02-19 12:09:32
116960062,583127113,2016-02-19 12:09:32
4819442703,4328211374,2016-02-19 12:09:33
276951165,1132342340,2016-02-19 12:09:33
4838814472,1429444549,2016-02-19 12:09:33
189456977,1429819598,2016-02-19 12:09:36
11332012,22370303,2016-02-19 12:09:36
2475599276,4328211374,2016-02-19 12:09:36
3407528843,42836285,2016-02-19 12:09:38
45679880,2836421,2016-02-19 12:09:39
1869773210,90021519,2016-02-19 12:09:39
273540879,19400611,2016-02-19 12:09:40
2790832245,17801749,2016-02-19 12:09:41
2501738065,1330457336,2016-02-19 12:09:42
2988942048,18646108,2016-02-19 12:09:42
4491667763,23721547,2016-02-19 12:09:44
2775859174,39313353,2016-02-19 12:09:44
139477955,1917731,2016-02-19 12:09:44
116960062,16462209,2016-02-19 12:09:44
15808113,29509060,2016-02-19 12:09:45
1195018195,122253091,2016-02-19 12:09:48
2972665299,23721547,2016-02-19 12:09:48
498402567,21692297,2016-02-19 12:09:50
226837024,254117355,2016-02-19 12:09:51
2953744209,16409683,2016-02-19 12:09:53
1077970982,469921287,2016-02-19 12:09:53
2475599276,4332058576,2016-02-19 12:09:54
18465936,19865528,2016-02-19 12:09:56
3315244591,334028220,2016-02-19 12:09:57
259064870,242618658,2016-02-19 12:09:58
28654635,4826268304,2016-02-19 12:10:00
4893944740,38580024,2016-02-19 12:10:00
973165392,764979343,2016-02-19 12:10:01
47261104,25785889,2016-02-19 12:10:02
122053347,4834339845,2016-02-19 12:10:02
16689838,26386472,2016-02-19 12:10:03
1325892012,166534146,2016-02-19 12:10:03
184439365,17050431,2016-02-19 12:10:05
2953744209,1663856996,2016-02-19 12:10:05
