Id,Label,Followers,Lang
3293741005,David360NC,NA,NA
13943202,peijinc,1394,en
233933230,HomunculusLoikm,NA,NA
21619519,JoeNBC,NA,NA
2434051392,SymoneDSanders,NA,NA
479270837,_ijiwon,339,vi
1572435415,TPSpacedOut,171,en
504129552,poohsbrana,606,en
3362972344,CarlaCa75380227,NA,NA
2208095516,willbarrett_1,NA,NA
26062385,PatToomey,NA,NA
3121651429,jlgarzon1,294,en
65691824,CarlyFiorina,NA,NA
1710743766,gicapo2013,9,en
2823620637,JianJianhui,456,en
3193944696,Women4Bernie,NA,NA
1149267294,ms_trutalk,NA,NA
287423191,tensing334455,NA,NA
3067160718,DellKi2,247,en
16123853,jwhiteatc,789,en
16311797,WSJPolitics,NA,NA
93727830,Jlynch661,1399,en
527823754,Camtemp,NA,NA
3237607138,suevee85,NA,NA
29442313,SenSanders,NA,NA
179245596,DavidLimbaugh,NA,NA
15458694,HuffPostPol,NA,NA
279657148,2perfect4every1,1343,en
94245127,_ChickenGeorge,1990,en
4729317440,YugeMilo,NA,NA
1271084154,shiloht88,617,en
4844811918,BrendaNally1960,61,en
3314392584,luigibleu,NA,NA
1942837039,JasonWatchpro,636,en
84816752,MazMHussain,NA,NA
618300542,SusanSarandon,NA,NA
3195330108,mn4bernie,NA,NA
143104075,KyleKulinski,NA,NA
4862600004,AbelJaquez1,5,en
263473924,ElizLanders,NA,NA
3065900255,HillaryforNH,NA,NA
2753701960,MrRealtorElite,NA,NA
2467791,washingtonpost,NA,NA
16129920,maddow,NA,NA
20740837,xlivingproof,NA,NA
49645946,TParker1961,NA,NA
91180720,MaddowBlog,NA,NA
4747922788,JenniferCarew1,7,en-gb
389520791,RalphMora1,333,en
133920872,Cartasaurio,NA,NA
261749735,steph93065,NA,NA
3403597312,anntheferal,142,en
252966637,KevinMcGil,2771,en
3409150158,PoliticasUAEMex,310,es
1000174741,scotlandelder,716,en
7702542,DLoesch,NA,NA
3253946096,FranCifelli,5873,en
53861909,BJHare,6011,en
14746561,Karasu_anesan,155,en
2167674121,CarmineZozzora,142581,en
56149176,derekahunter,NA,NA
746649829,simonefiasco,17629,en
14596346,taviagilbert,NA,NA
3428565077,apodco,NA,NA
843820334,franginter,NA,NA
14747825,MichiganDems,NA,NA
177584156,jjauthor,NA,NA
396867495,PinJavier,371,es
117549200,purpletaffy1,157,en
885581376,JoyceBruns,312,en
